original_text	translation_ko
(1950) The US Congress passed into law the Federal Civil Defense Act, in reaction to the first Soviet tests of nuclear weapons in 1949, Duck and Cover is perhaps the most memorable of the variety of civil defense efforts to raise awareness of nuclear attack. Ironically, such films may have assisted in increasing the possibility of nuclear war by making the possibility of such a conflict “thinkable” by the general public.	(1950) 미국 의회는 1949년 소련의 첫 핵무기 실험에 대응하여 연방 민방위법을 제정했습니다. "엎드려 숨어라(Duck and Cover)"는 핵 공격 인식을 높이기 위한 다양한 민방위 노력 중 가장 기억에 남는 것일 것입니다. 아이러니하게도, 이러한 영상들은 핵전쟁의 가능성을 일반 대중이 "상상 가능한" 것으로 만들어 오히려 핵전쟁의 가능성을 높이는 데 일조했을 수도 있습니다.
(1955) Reacting to the “loss of China” the United States Congress extended to President Eisenhower open ended authority to defend Taiwan—technically known as the Republic of China on Taiwan—with military force. The resolution came at a time when the United States faced challenges from the People’s Republic in Indochina as well as the Korean peninsula. Effectively, Taiwan sat under the US nuclear umbrella, and the balance of power within the Taiwan Straits would now remain a question of strategic importance to the United States.	(1955) "중국의 상실"에 대응하여, 미국 의회는 아이젠하워 대통령에게 공식적으로 중화민국으로 알려진 대만을 군사력으로 방어할 수 있는 포괄적 권한을 부여했습니다. 이 결의안은 미국이 인도차이나와 한반도에서 중화인민공화국의 도전에 직면하고 있던 시기에 나왔습니다. 사실상 대만은 미국의 핵우산 아래 놓이게 되었으며, 대만해협 내 세력 균형은 이제 미국에 전략적으로 중요한 문제로 남게 되었습니다.
(1956) During the 20th Party Congress, Nikita Khrushchev openly attacked Stalin’s leadership of the Soviet Union. It was seen both inside and outside the Soviet Union as the beginning of a new era. This proved to be a particularly bloody assumption for Nagy’s Hungary. Khrushchev had no intention of “liberalizing” Soviet domination of Eastern Europe, even if he was trying to bring an end to the cult personality that have characterized internal Soviet government.	(1956) 제20차 당 대회에서 니키타 흐루쇼프는 소련에 대한 스탈린의 지도력을 공개적으로 비판했습니다. 이는 소련 안팎에서 새로운 시대의 시작으로 받아들여졌습니다. 이 가정은 너지의 헝가리에 특히 피비린내 나는 결과를 낳았습니다. 흐루쇼프는 소련 내부 정치를 특징지었던 개인숭배에 종지부를 찍으려 했을 뿐, 동유럽에 대한 소련의 지배를 "자유화"할 의도는 전혀 없었습니다.
(1959) Coming to power after deposing the corrupt Batista, Castro disenchanted the US after it became clear he was leading a Marxist revolution. The US tried various schemes to depose or assassinate Castro, culminating in the disastrous “Bay of Pigs” invasion. Ultimately, communist Cuba would lend support to Marxist governments in Angola and Ethiopia.	(1959) 부패한 바티스타를 몰아내고 권력을 잡은 카스트로는 자신이 마르크스주의 혁명을 이끌고 있음이 분명해지면서 미국을 실망시켰습니다. 미국은 카스트로를 제거하거나 암살하기 위한 다양한 계획을 시도했으며, 결국 파국으로 끝난 "피그만 침공"으로 귀결되었습니다. 결국 공산주의 쿠바는 앙골라와 에티오피아의 마르크스주의 정부를 지원하게 됩니다.
(1961 – 1973) Initiated by President Kennedy as a counter for growing Cuban influence in Central and South America, the Alliance for Progress was to help integrate the economies of North and Latin America. Emphases for the program included land reform, democratic reform and tax reform. By the late 60’s the United States had become fully embroiled in Vietnam and South Asia, thus aid for Latin America waned. Furthermore, few Latin American countries proved willing to undertake the required reforms. As a result, the Organization of American States disbanded its “permanent” Alliance for Progress Committee in 1973.	(1961 – 1973) 중남미에서 커져가는 쿠바의 영향력에 대응하기 위해 케네디 대통령이 시작한 진보를 위한 동맹은 북미와 라틴 아메리카의 경제를 통합하는 것을 목표로 했습니다. 이 프로그램의 중점 사항에는 토지 개혁, 민주주의 개혁, 세제 개혁이 포함되었습니다. 1960년대 후반이 되자 미국은 베트남과 남아시아에 완전히 얽매이게 되어 라틴 아메리카에 대한 지원이 약해졌습니다. 더구나 라틴 아메리카 국가들 중 필요한 개혁을 기꺼이 단행하려는 나라가 거의 없었습니다. 결과적으로 미주기구는 1973년 "상설" 진보를 위한 동맹 위원회를 해산했습니다.
(1963-?) The first Nuclear Test Ban treaty owes its origins to the de-escalation process that followed the Cuban Missile Crisis. It prohibited further nuclear tests in the air, underwater or in space. International pressure for such a ban mounted in the 1950s as scientific evidence began to document severe environmental damage caused by earlier atmospheric testing by the nuclear powers. Underground testing remained an allowable methodology, but all forms of “peaceful nuclear explosions” were also banned, tightening the non-proliferation regime.	(1963-?) 최초의 핵실험 금지 조약은 쿠바 미사일 위기 이후의 긴장 완화 과정에서 비롯되었습니다. 이 조약은 대기, 수중, 우주에서의 추가적인 핵실험을 금지했습니다. 이러한 금지에 대한 국제적 압박은 핵보유국들의 이전 대기권 핵실험이 심각한 환경 피해를 야기했다는 과학적 증거가 축적되기 시작한 1950년대부터 고조되었습니다. 지하 핵실험은 허용 방법으로 남아 있었지만, 모든 형태의 "평화적 핵폭발"도 금지되어 비확산 체제가 강화되었습니다.
(1979 – 1990) In many ways presaging the “Reagan revolution” in the United States, Margaret Thatcher led a rejuvenation of the conservative movement in the United Kingdom. An ardent anti-communist, Thatcher received the moniker “Iron Lady” from the Soviet newspaper, “The Red Star.” Thatcher provided the perfect partner for Ronald Reagan, and together, they renewed the “special relationship” that formed the lynchpin of the post-war Atlantic Alliance. Thatcher’s finest moment may have been her vigorous defense of Britain’s colonial outpost in the Falkland Islands. The military junta ruling Argentina launched an invasion of what they referred to as the Malvinas Islands. In a sharp, short military action, the UK expelled the Argentinian forces, and restored some small luster to Britain’s former imperial pretensions. Thatcher reigned through the close of the Cold War, and is Britain’s longest serving prime minister.	(1979 – 1990) 여러 면에서 미국의 "레이건 혁명"을 예고한 마거릿 대처는 영국 보수 운동의 부활을 이끌었습니다. 열렬한 반공주의자인 대처는 소련 신문 "붉은 별"로부터 "철의 여인"이라는 별명을 얻었습니다. 대처는 로널드 레이건의 완벽한 파트너가 되었으며, 함께 전후 대서양 동맹의 핵심축을 이루는 "특별한 관계"를 새롭게 했습니다. 대처의 가장 빛나는 순간은 영국의 식민지 전초기지인 포클랜드 제도를 강력히 수호한 것일 것입니다. 아르헨티나를 지배하던 군사 정권이 그들이 말비나스 제도라고 부르는 곳을 침공했습니다. 짧고 신속한 군사 행동으로 영국은 아르헨티나 군대를 몰아내고 영국의 옛 제국적 위상에 작지만 빛나는 광채를 되살렸습니다. 대처는 냉전이 끝날 때까지 집권하며 영국 최장수 총리가 되었습니다.
(1983 – ?) More properly known as the Strategic Defense Initiative, President Reagan announced this radical departure from the Cold War doctrine of “mutually assured destruction” in a live television speech to the American public. The initial concept for the “space shield” was developed at Lawrence Livermore National Laboratory by Dr. Peter Hagelstein. Notionally, it would create a series of space based satellites powered by nuclear reactors that would create an impenetrable field to block Soviet ICBM’s. While scientifically sound on paper, the concept was never successfully engineered. Later iterations involved “smart pebbles” and missile based interceptors. SDI is frequently credited as one of the factors that convinced Gorbachev that the Soviet Union could not keep up the Cold War.	(1983 – ?) 정식 명칭은 전략방위구상(SDI)으로, 레이건 대통령은 생방송 텔레비전 연설을 통해 미국 국민에게 냉전의 "상호확증파괴" 독트린으로부터의 급진적인 이탈을 선언했습니다. "우주 방패"의 초기 개념은 로렌스 리버모어 국립연구소의 피터 헤이겔스타인 박사가 개발했습니다. 개념상으로는 핵반응로로 구동되는 일련의 우주 기반 위성들을 만들어 소련 대륙간탄도미사일을 차단하는 난공불락의 방어막을 형성하는 것이었습니다. 이론상으로는 과학적으로 타당했지만, 실제로 공학화에 성공하지는 못했습니다. 이후 버전에서는 "스마트 페블"과 미사일 기반 요격체가 등장했습니다. SDI는 고르바초프가 소련이 냉전을 지속할 수 없다는 것을 납득하게 만든 요인 중 하나로 자주 거론됩니다.
(1983) First used by President Ronald Reagan before the National Association of Evangelicals, conservatives applied the term “evil empire” to the Soviet Union. This change in terminology encapsulated the conservative movement’s rejection of Nixon’s morally ambiguous policy of detente. The speech sparked controversy within the NATO alliance, as many European leaders found the speech unnecessarily provocative. Domestically, the left argued that the United States had no room to criticize Soviet actions during the Cold War, and pointed to CIA involvement in places like Chile. The speech gave further indication that the last phase of the Cold War would be a confrontational one.	(1983) 로널드 레이건 대통령이 전국복음주의자협회 앞에서 처음 사용한 이래, 보수주의자들은 소련에 "악의 제국"이라는 표현을 적용했습니다. 이 용어의 변화는 닉슨의 도덕적으로 모호한 데탕트 정책에 대한 보수 운동의 거부를 압축적으로 보여주었습니다. 이 연설은 많은 유럽 지도자들이 불필요하게 도발적이라고 느끼면서 NATO 동맹 내에 논란을 일으켰습니다. 국내에서 좌파는 미국이 냉전 중 소련의 행동을 비판할 자격이 없다고 주장하며 칠레 같은 곳에서의 CIA 개입을 지적했습니다. 이 연설은 냉전의 마지막 국면이 대결적인 것이 될 것임을 더욱 분명히 예고했습니다.
(1986) The E3 “AWACS” aircraft is one of the most sophisticated early command and surveillance platforms available to the United States Air Force. Imagine Congress’ surprise when President Ronald Reagan announced plans to sell 5 of them to Saudi Arabia after they have only recently entered service in the United States. The “Airborne Warning and Control System” sale was, at that time, the largest military sale ever. While it met with Congressional resistance, as well as resistance from the Israeli government, ultimately, the objective was to cement Saudi Arabia as the US new anchor against Tehran. The high profile political risk associated with this arms sale would draw the two governments together long after the Cold War was over.	(1986) E3 "AWACS" 항공기는 미국 공군이 보유한 가장 정교한 조기 지휘 및 감시 플랫폼 중 하나입니다. 미국에서 막 실전 배치된 지 얼마 안 된 이 항공기 5대를 사우디아라비아에 판매하겠다는 로널드 레이건 대통령의 계획 발표에 의회가 얼마나 놀랐을지 상상해보십시오. "공중 경보 통제 시스템" 판매는 당시 역대 최대 규모의 군사 판매였습니다. 의회의 저항과 이스라엘 정부의 반대에도 불구하고, 궁극적인 목표는 사우디아라비아를 테헤란에 대항하는 미국의 새로운 거점으로 굳히는 것이었습니다. 이 무기 판매와 관련된 높은 정치적 위험성은 냉전이 끝난 한참 후에도 두 정부를 묶어두는 역할을 했습니다.
(1987) In a speech that hearkened back to Kennedy’s address in front of the Berlin wall, Ronald Reagan challenged newly installed Soviet leader Mikhail Gorbachev. Reagan, with the Brandenburg gate in the background, declared: “General Secretary Gorbachev, if you seek peace, if you seek prosperity for the Soviet Union and Eastern Europe, if you seek liberalization: Come here to this gate! Mr. Gorbachev, open this gate! Mr. Gorbachev, tear down this wall!” While provocative, the speech leveled a difficult criticism at the Soviet Union. Successful countries do not have to wall their citizens in. Two short years later, the Berlin Wall would come down.	(1987) 베를린 장벽 앞에서의 케네디 연설을 상기시키는 이 연설에서, 로널드 레이건은 새로 취임한 소련 지도자 미하일 고르바초프에게 도전장을 내밀었습니다. 브란덴부르크 문을 배경으로 레이건은 선언했습니다: "고르바초프 서기장, 평화를 원한다면, 소련과 동유럽의 번영을 원한다면, 자유화를 원한다면, 이 문으로 오십시오! 고르바초프 씨, 이 문을 여십시오! 고르바초프 씨, 이 장벽을 허무십시오!" 도발적이었지만, 이 연설은 소련에 대한 날카로운 비판을 가했습니다. 성공한 나라는 자국민을 담으로 가둘 필요가 없습니다. 불과 2년 후, 베를린 장벽은 무너졌습니다.
<indent=1em>War</indent> Events: There are 5 “War” Events in the deck: <i>Korean War, Arab-Israeli War, Indo-Pakistani War, Brush War,</i> and <i>Iran-Iraq War</i>. These Events may be played regardless of the absence of either player's influence points in either the attacking or defending countries. If there is no influence at risk in the war, the Event's player still receives victory points upon success, and required military operations irrespective of success.	<indent=1em>전쟁</indent> 이벤트: 덱에는 5개의 "전쟁" 이벤트가 있습니다: <i>한국 전쟁, 아랍-이스라엘 전쟁, 인도-파키스탄 전쟁, 국지전,</i> 그리고 <i>이란-이라크 전쟁</i>. 이 이벤트들은 공격국이나 방어국에 어느 플레이어의 영향력이 없더라도 사용할 수 있습니다. 전쟁에서 위험에 처한 영향력이 없더라도, 이벤트를 사용한 플레이어는 성공 시 승점을 받으며, 성공 여부와 관계없이 필요한 군사 작전이 수행됩니다.
A <color=white>Coup</color> represents operations that change the composition of a target country's government. A player attempting a <color=white>Coup</color> does not need to have any <color=white>Influence</color> Markers in the Country; however your opponent must have <color=white>Influence Markers</color> in the target country. To resolve a <color=white>Coup</color> attempt, the game multiplies the <color=white>Stability Number</color> of the target country by two (2), then rolls a die and adds the <color=white>Operations</color> points on the card to it. If the modified roll is greater than this target number the coup is successful. <color=white>Influence Markers</color> equal to the difference from the target country target number are then removed, and the remainder (if any) is added to the friendly <color=white>Influence Markers</color> to make up the difference. \r\n\nAfter the outcome of a <color=white>Coup</color> is resolved, the marker on the <color=white>Military Operations</color> track moves up the number of spaces equal to the <color=white>Operations</color> value of the card played. Any <color=white>Coup</color> attempt in a <color=white>Battleground</color> country degrades the DEFCON status one level. Cards that state a player may make a “free <color=white>Coup</color>  roll” in a particular region ignore the geographic restrictions of the DEFCON level. However if the free Coup roll is used in a <color=white>Battleground</color> country, the DEFCON status would still degrade one level.\r<br>\n	<color=white>쿠데타</color>는 목표 국가의 정부 구성을 바꾸는 작전을 나타냅니다. <color=white>쿠데타</color>를 시도하는 플레이어는 해당 국가에 <color=white>영향력</color> 마커를 보유할 필요가 없습니다. 그러나 상대방은 목표 국가에 <color=white>영향력 마커</color>를 보유하고 있어야 합니다. <color=white>쿠데타</color> 시도를 해결하기 위해, 게임은 목표 국가의 <color=white>안정 수치</color>에 2를 곱한 후, 주사위를 굴려 카드의 <color=white>작전치</color>를 더합니다. 수정된 결과가 이 목표 수치보다 크면 쿠데타는 성공합니다. 목표 국가의 목표 수치와의 차이만큼 <color=white>영향력 마커</color>가 제거되고, 나머지(있는 경우)는 차이를 메우기 위해 아군 <color=white>영향력 마커</color>에 추가됩니다. \r\n\n<color=white>쿠데타</color> 결과가 해결된 후, <color=white>군사 작전</color> 트랙의 마커는 사용된 카드의 <color=white>작전치</color>만큼 칸을 전진합니다. <color=white>격전지</color> 국가에서의 모든 <color=white>쿠데타</color> 시도는 데프콘 수준을 한 단계 낮춥니다. 특정 지역에서 "무료 <color=white>쿠데타</color> 굴림"을 할 수 있다고 명시된 카드는 데프콘 수준의 지리적 제한을 무시합니다. 그러나 무료 쿠데타 굴림이 <color=white>격전지</color> 국가에서 사용되면, 데프콘 수준은 여전히 한 단계 낮아집니다.\r<br>\n
A Pan-Arab Coalition invades Israel. Roll one die and subtract 1 for US Control of Israel and every US-controlled country adjacent to Israel.  USSR Victory on modified die roll 4-6. USSR adds 2 Military to Ops Track.<br><b>Effects of Victory:</b> USSR gains 2 VP and replaces all US Influence in Israel with USSR Influence.<br><i>Unplayable as an event after the “Camp David Accords” event has been played.</i>	범아랍 연합이 이스라엘을 침공합니다. 주사위 1개를 굴리고, 이스라엘의 미국 지배 및 이스라엘에 인접한 미국 지배 국가 각각에 대해 1씩 뺍니다. 수정된 주사위 결과 4~6이면 소련 승리. 소련은 작전 트랙에 군사 2를 추가합니다.<br><b>승리 효과:</b> 소련은 2 VP를 획득하고 이스라엘의 모든 미국 영향력을 소련 영향력으로 교체합니다.<br><i>"캠프 데이비드 협정" 이벤트가 사용된 이후에는 이벤트로 사용 불가.</i>
Except for <color=white>Scoring Cards</color>, all cards contain an <color=white>Operations Point</color> value, an <color=white>Event Title</color> and <color=white>Event Description</color>. <color=white>Scoring Cards</color> are labeled “SCORING” and must be played sometime during the turn they are drawn. Cards with a Red star are only associated with the USSR, and cards with a White star are only associated with the US. Cards that have a split Red/White star are Neutral, and are associated with both sides. <br><br>Cards are played in either one of two ways - as <color=white>Events</color> or <color=white>Operations</color>. Many cards have an asterisk following their <color=white>Event Title</color>. When these cards are played as <color=white>Events</color>, they are removed permanently from the game. Cards that have their <color=white>Event Title</color> underlined, and are played as an Event, are in effect on the game board until they are cancelled. Cards that are discarded, but not removed from the game, are placed face up in the discarded pile.\r<br>	<color=white>점수 카드</color>를 제외한 모든 카드에는 <color=white>작전치</color>, <color=white>이벤트 제목</color> 및 <color=white>이벤트 설명</color>이 포함되어 있습니다. <color=white>점수 카드</color>는 "SCORING"으로 표시되며, 드로우한 턴 중에 반드시 사용해야 합니다. 빨간 별이 있는 카드는 소련 전용이며, 흰 별이 있는 카드는 미국 전용입니다. 빨간/흰 별이 반반씩 나뉜 카드는 중립으로, 양측 모두와 연관됩니다. <br><br>카드는 두 가지 방식 중 하나로 사용됩니다 - <color=white>이벤트</color> 또는 <color=white>작전치</color>로. 많은 카드의 <color=white>이벤트 제목</color> 뒤에 별표가 있습니다. 이 카드들이 <color=white>이벤트</color>로 사용되면 게임에서 영구적으로 제거됩니다. <color=white>이벤트 제목</color>에 밑줄이 그어진 카드가 이벤트로 사용되면, 취소될 때까지 게임 보드에서 효력을 발휘합니다. 버려지지만 게임에서 제거되지 않은 카드는 버린 카드 더미에 앞면이 보이도록 놓입니다.\r<br>
In 1949, Mao's armies forced Chiang Kai-shek and the Nationalist government to flee from mainland China to Taiwan. Due to America's long missionary involvement in China during the 19th and early 20th centuries, as well as its commercial and quasi-imperial experiences, Americans had a somewhat paternalistic view of the country. The declaration of the “People's Republic” meant that a long-standing ally was transformed into a bitter enemy. So, despite the warnings of Joe Stilwell and others, the debate raged in Washington about who to blame for the loss of China to communist forces. At the time, most of the blame fell on the Truman Administration and imagined “fifth column” communist sympathizers that had allegedly infiltrated the American government.	1949년, 마오쩌둥의 군대는 장제스와 국민당 정부를 중국 본토에서 대만으로 몰아냈습니다. 19세기와 20세기 초 미국의 오랜 선교 활동과 상업적·준제국주의적 경험으로 인해, 미국인들은 중국에 대해 다소 온정주의적인 시각을 가지고 있었습니다. "인민공화국" 선포는 오랜 동맹국이 숙적으로 변했음을 의미했습니다. 그래서 조 스틸웰 등의 경고에도 불구하고, 중국이 공산 세력에 넘어간 것을 누구의 책임으로 돌릴 것인지에 대한 논쟁이 워싱턴에서 격렬하게 벌어졌습니다. 당시 대부분의 비난은 트루먼 행정부와, 미국 정부에 침투했다고 주장되는 '5열' 공산주의 동조자들에게 쏟아졌습니다.
The map is divided into six Regions: Europe, Asia, Central America, South America, Africa, and the Middle East. Europe is divided into two sub-regions, Eastern and Western Europe. Asia also contains a sub-region, Southeast Asia. The country spaces that comprise a region share a map color, and sub-regions have shades of the same color.\r<br><br>Any event, rule, action, or card that refers to “Europe” or “Asia” includes the associated sub-region. Each space on the map represents a country or bloc of countries, and each country has a <color=white>Stability Number </color>representing that country's overall stability, independence and power. <color=white>Battleground</color> countries operate the same way as normal countries, but have special rules for scoring and coup attempts. Their country name is highlighted in red for easy recognition.\r	지도는 유럽, 아시아, 중앙아메리카, 남아메리카, 아프리카, 중동의 6개 지역으로 나뉩니다. 유럽은 동유럽과 서유럽의 두 하위 지역으로 나뉩니다. 아시아에도 동남아시아라는 하위 지역이 있습니다. 한 지역을 구성하는 국가 칸들은 동일한 지도 색상을 공유하며, 하위 지역은 같은 색상의 음영으로 표시됩니다.\r<br><br>"유럽" 또는 "아시아"를 언급하는 모든 이벤트, 규칙, 행동 또는 카드에는 관련 하위 지역이 포함됩니다. 지도의 각 칸은 하나의 국가 또는 국가 집단을 나타내며, 각 국가에는 해당 국가의 전반적인 안정성, 독립성 및 국력을 나타내는 <color=white>안정 수치</color>가 있습니다. <color=white>격전지</color> 국가는 일반 국가와 동일한 방식으로 작동하지만, 점수 계산과 쿠데타 시도에 특별 규칙이 적용됩니다. 격전지 국가의 이름은 쉽게 알아볼 수 있도록 빨간색으로 강조 표시됩니다.\r
The map is divided into six Regions: Europe, Asia, Central America, South America, Africa, and the Middle East. Europe is divided into two sub-regions, Eastern and Western Europe. Asia also contains a sub-region, Southeast Asia. The country spaces that comprise a region share a map color, and sub-regions have shades of the same color.\r<br><br>Any event, rule, action, or card that refers to “Europe” or “Asia” includes the associated sub-region. Each space on the map represents a country or bloc of countries, and each country has a <color=white>Stability Number </color>representing that country's overall stability, independence and power. <color=white>Battleground</color> countries operate the same way as normal countries, but have special rules for scoring and coup attempts. Their country name is highlighted in red for easy recognition.\r\n	지도는 유럽, 아시아, 중앙아메리카, 남아메리카, 아프리카, 중동의 6개 지역으로 나뉩니다. 유럽은 동유럽과 서유럽의 두 하위 지역으로 나뉩니다. 아시아에도 동남아시아라는 하위 지역이 있습니다. 한 지역을 구성하는 국가 칸들은 동일한 지도 색상을 공유하며, 하위 지역은 같은 색상의 음영으로 표시됩니다.\r<br><br>"유럽" 또는 "아시아"를 언급하는 모든 이벤트, 규칙, 행동 또는 카드에는 관련 하위 지역이 포함됩니다. 지도의 각 칸은 하나의 국가 또는 국가 집단을 나타내며, 각 국가에는 해당 국가의 전반적인 안정성, 독립성 및 국력을 나타내는 <color=white>안정 수치</color>가 있습니다. <color=white>격전지</color> 국가는 일반 국가와 동일한 방식으로 작동하지만, 점수 계산과 쿠데타 시도에 특별 규칙이 적용됩니다. 격전지 국가의 이름은 쉽게 알아볼 수 있도록 빨간색으로 강조 표시됩니다.\r\n
The object of the game is to score <color=white>Victory Points</color> through geographic influence over the six Regions. Each Region has its own “Scoring Card”. Playing a Scoring Card causes <color=white>Victory Points</color> to be scored on how much influence each superpower has in that region at the time the card is played. The <color=white>Victory Points</color> are totaled for both players, and the net difference is marked on the <color=white>Victory Point Track</color>. A player may not hold a Scoring Card in their hand at the end of theirturn, as doing so results in automatically losing the game. A player may not be forced to hold a <color=white>Scoring Card</color> through the effects of a game event.<br><br>Scoring Card have the following scoring criteria:<br><br><color=white>> Presence:</color> A superpower has <color=white>Presence</color> in a Region if it Controls at least one (1) country in that Region.<br><br><color=white>> Domination:</color> A superpower has <color=white>Domination</color> in a Region if it <color=white>Controls</color> more countries than an opponent and it <color=white>Controls</color> more <color=white>Battleground</color> countries in that Region. A superpower must <color=white>Control</color> at least one (1) <color=white>non-Battleground</color> and one (1) <color=white>Battleground</color> country in that Region to achieve domination.<br><br><color=white>> Control:</color> A superpower has <color=white>Control</color> of a Region if it <color=white>Controls</color> more countries in that Region than its opponent, and <color=white>Controls</color> all of the <color=white>Battleground</color> countries in that Region.<br><br><color=white>> Additional Scoring:</color> A +1 VP is granted per country that is under Control and adjacent to the enemy superpower.<br><br><color=white>> Additional Scoring:</color> A +1 VP is granted per <color=white>Battleground</color> Country that is under a player's <color=white>Control</color> in the scoring region.\n	게임의 목표는 6개 지역에 대한 지리적 영향력을 통해 <color=white>승점</color>을 획득하는 것입니다. 각 지역에는 고유한 "점수 카드"가 있습니다. 점수 카드를 사용하면 카드가 사용된 시점에 각 초강대국이 해당 지역에 얼마나 많은 영향력을 가지고 있는지에 따라 <color=white>승점</color>이 계산됩니다. <color=white>승점</color>은 두 플레이어 모두 합산되며, 순 차이가 <color=white>승점 트랙</color>에 표시됩니다. 플레이어는 턴 종료 시 점수 카드를 손에 보유할 수 없으며, 이를 어길 경우 자동으로 게임에서 패배합니다. 플레이어는 게임 이벤트의 효과로 인해 <color=white>점수 카드</color>를 강제로 보유하게 되는 일이 없습니다.<br><br>점수 카드의 점수 기준은 다음과 같습니다:<br><br><color=white>> 진출:</color> 초강대국이 해당 지역에서 최소 1개 국가를 지배하면 그 지역에 <color=white>진출</color>한 것입니다.<br><br><color=white>> 지배:</color> 초강대국이 상대방보다 더 많은 국가를 지배하고 해당 지역에서 더 많은 <color=white>격전지</color> 국가를 지배하면 그 지역을 <color=white>지배</color>한 것입니다. 지배를 달성하려면 초강대국은 해당 지역에서 최소 1개의 <color=white>비격전지</color> 국가와 1개의 <color=white>격전지</color> 국가를 지배해야 합니다.<br><br><color=white>> 장악:</color> 초강대국이 해당 지역에서 상대방보다 더 많은 국가를 지배하고 해당 지역의 모든 <color=white>격전지</color> 국가를 지배하면 그 지역을 <color=white>장악</color>한 것입니다.<br><br><color=white>> 추가 점수:</color> 적 초강대국과 인접하여 지배하는 국가 1개당 +1 VP가 부여됩니다.<br><br><color=white>> 추가 점수:</color> 점수 계산 지역에서 플레이어가 <color=white>지배</color>하는 <color=white>격전지</color> 국가 1개당 +1 VP가 부여됩니다.\n
The map is divided into six Regions: Europe, Asia, Central America, South America, Africa, and the Middle East. Europe is divided into two sub-regions, Eastern and Western Europe. Asia also contains a sub-region, Southeast Asia. The country spaces that comprise a region share a map color, and sub-regions have shades of the same color.\r<br><br>Any event, rule, action, or card that refers to “Europe” or “Asia” includes the associated sub-region. Each space on the map represents a country or bloc of countries, and each country has a <color=white>Stability Number </color>representing that country’s overall stability, independence and power. <color=white>Battleground</color> countries operate the same way as normal countries, but have special rules for scoring and coup attempts. Their country name is highlighted in red for easy recognition.\r\n	지도는 유럽, 아시아, 중앙아메리카, 남아메리카, 아프리카, 중동의 6개 지역으로 나뉩니다. 유럽은 동유럽과 서유럽의 두 하위 지역으로 나뉩니다. 아시아에도 동남아시아라는 하위 지역이 있습니다. 한 지역을 구성하는 국가 칸들은 동일한 지도 색상을 공유하며, 하위 지역은 같은 색상의 음영으로 표시됩니다.\r<br><br>"유럽" 또는 "아시아"를 언급하는 모든 이벤트, 규칙, 행동 또는 카드에는 관련 하위 지역이 포함됩니다. 지도의 각 칸은 하나의 국가 또는 국가 집단을 나타내며, 각 국가에는 해당 국가의 전반적인 안정성, 독립성 및 국력을 나타내는 <color=white>안정 수치</color>가 있습니다. <color=white>격전지</color> 국가는 일반 국가와 동일한 방식으로 작동하지만, 점수 계산과 쿠데타 시도에 특별 규칙이 적용됩니다. 격전지 국가의 이름은 쉽게 알아볼 수 있도록 빨간색으로 강조 표시됩니다.\r\n
Twilight Struggle has ten turns, and each turn will involve six or seven card plays by each player. At the beginning of the game, each player receives eight cards from the <color=white>Early War</color> deck. At the beginning of Turn 4, the <color=white>Mid War</color> deck is shuffled into the draw pile and the player’s hand size is increased to nine. At the beginning of Turn 8, the <color=white>Late War</color> deck is shuffled into the draw pile. When there are no cards remaining in the draw deck, the game reshuffles all discarded cards to form a new draw deck. The game will deal all cards remaining in the draw deck before reshuffling, except in Turns 4 and 8.\r\n	Twilight Struggle는 10턴으로 구성되며, 각 턴마다 각 플레이어가 6~7번의 카드 플레이를 진행합니다. 게임 시작 시, 각 플레이어는 <color=white>초전</color> 덱에서 카드 8장을 받습니다. 4턴 시작 시, <color=white>중전</color> 덱이 드로우 파일에 섞이고 플레이어의 패 크기가 9장으로 늘어납니다. 8턴 시작 시, <color=white>후전</color> 덱이 드로우 파일에 섞입니다. 드로우 덱에 남은 카드가 없으면, 게임은 버린 카드를 모두 다시 섞어 새 드로우 덱을 만듭니다. 게임은 4턴과 8턴을 제외하고, 다시 섞기 전에 드로우 덱에 남은 모든 카드를 배분합니다.\r\n
<color=white>Influence Markers</color> are placed one at a time, and must be placed with or adjacent to friendly markers, that were in place at the start of the phasing player’s <color=white>Action Round</color>. It costs one (1) Operations point to place an Influence marker in a country that is friendly Controlled or Uncontrolled. It costs two (2) Operations points to place an <color=white>Influence Marker</color> in an enemy-controlled country. If a country’s Control status changes while placing <color=white>Influence Markers</color>, the additional marker's costs adjust accordingly for future placement for that <color=white>Action Round</color>.\r\n	<color=white>영향력 마커</color>는 한 번에 하나씩 놓아야 하며, 해당 플레이어의 <color=white>행동 라운드</color> 시작 시점에 이미 배치되어 있던 아군 마커와 같은 칸 또는 인접한 칸에 놓아야 합니다. 아군이 지배하거나 지배되지 않은 국가에 영향력 마커를 놓는 데는 작전치 1점이 필요합니다. 적이 지배하는 국가에 <color=white>영향력 마커</color>를 놓는 데는 작전치 2점이 필요합니다. <color=white>영향력 마커</color>를 배치하는 도중에 국가의 지배 상태가 변경되면, 해당 <color=white>행동 라운드</color>의 이후 배치에 대한 추가 마커 비용이 그에 따라 조정됩니다.\r\n
